title,description,category
The Science Fiction Encyclopedia,"Nearly two thousand illustrated entries covering science-fiction authors, editors, critics, magazines, anthologies, comics, illustrators, films, filmmakers, and major themes are thoroughly cross-referenced.",Science Fiction
We,"We is a dystopian novel which is set in a dystopian future police state. D-503 lives in the One State, an urban nation constructed almost entirely of glass, which allows the secret police/spies to inform on and supervise the public more easily. The structure of the state is analogous to the prison design concept developed by Jeremy Bentham commonly referred to as the Panopticon. Furthermore, life is organized to promote maximum productive efficiency along the lines of the system advocated by the hugely influential F. W. Taylor. People march in step with each other and wear identical clothing. There is no way of referring to people save by their given numbers. Males have odd numbers prefixed by consonants; females have even numbers prefixed by vowels. Along with Jack London's The Iron Heel, We is generally considered to be the grandfather of the satirical futuristic dystopia genre. Yevgeny Zamyatin (1884-1937) was a Russian author of science fiction and political satire. Due to his use of literature to criticize Soviet society, Zamyatin has been referred to as one of the first Soviet dissidents.",Science Fiction
Revelation Space,"Nine hundred thousand years ago, something wiped out the Amarantin. For the humans now settling the Amarantin homeworld, it's of little more than academic interest, even after the discovery of a long-hidden, almost perfect city and a colossal statue of a winged Amarantin. For brilliant, ruthless scientist Dan Sylveste, it's more than merely intellectual curiosity - and he will stop at nothing to get at the truth. Even if it costs him everything. But the Amarantin were wiped out for a reason, and that danger is closer and greater than even Syveste imagines . . . The original novel in the epic series, Revelation Space was nominated for both the BSFA and Arthur C. Clarke awards. Reynolds' PhD in astronomy and experience with the ESA means that his space operas present hard science spins on intergalactic adventures and have impacted SF for years. 'The stories in the Revelation Space universe are packed with mind-expanding ideas . . . all of which keeps you coming back for more gripping excitement' - Kirkus 'Reynolds's vision of a future dominated by artificial intelligence trembles with the ultimate cold of the dark between the stars' - Publishers Weekly 'Along with Iain M Banks, Reynolds is perhaps the most successful British Space Opera author of his generation' - Encyclopedia of Science Fiction Welcome to The Best Of The Masterworks: a selection of the finest in science fiction",Science Fiction
The Island of Doctor Moreau,"★ The Island of Doctor Moreau has been enjoyed by readers for more than 120 years! ★ The Island of Doctor Moreau is one of the best science fiction novels ever written. It was written by English author H. G. Wells and published in 1896. The story unfolds as a shipwrecked man, Edward Predick, finds himself on a strange island that is home to a mad scientist, Doctor Moreau. The doctor creates human-like hybrid beings from animals, filling the island with strange and terrifying creatures. Wells' novel deals with a number of philosophical themes, including moral responsibility, human identity, and human interference with nature. The Island of Doctor Moreau is a classic piece of early science fiction and remains one of Wells' best known novels. This beautiful reprint of the original story is unedited and unabridged, preserving The Island of Doctor Moreau for your reading pleasure. It makes a wonderful gift for the sci fi novel fan in your life or a wonderful addition to your library of classic literature. Enjoy! Excerpt: From him my eyes travelled to his three men; and a strange crew they were. I saw only their faces, yet there was something in their faces--I knew not what--that gave me a queer spasm of disgust. I looked steadily at them, and the impression did not pass, though I failed to see what had occasioned it. They seemed to me then to be brown men; but their limbs were oddly swathed in some thin, dirty, white stuff down even to the fingers and feet: I have never seen men so wrapped up before, and women so only in the East. They wore turbans too, and thereunder peered out their elfin faces at me,--faces with protruding lower-jaws and bright eyes. They had lank black hair, almost like horsehair, and seemed as they sat to exceed in stature any race of men I have seen. The white-haired man, who I knew was a good six feet in height, sat a head below any one of the three. I found afterwards that really none were taller than myself; but their bodies were abnormally long, and the thigh-part of the leg short and curiously twisted. At any rate, they were an amazingly ugly gang, and over the heads of them under the forward lug peered the black face of the man whose eyes were luminous in the dark. As I stared at them, they met my gaze; and then first one and then another turned away from my direct stare, and looked at me in an odd, furtive manner. It occurred to me that I was perhaps annoying them, and I turned my attention to the island we were approaching. Dimensions: Original 1896 Text Classic Science Fiction Book Dimensions: 6x9 inches Matte Cover",Science Fiction
The Spirit of Science Fiction,"Two young poets, Jan and Remo, find themselves adrift in Mexico City. Obsessed with poetry, and, above all, with science fiction, they are eager to forge a life in the literary world. But as close as these friends are, the city tugs them in opposite directions. Jan withdraws from the world, shutting himself in their shared rooftop apartment where he feverishly composes fan letters to the stars of science fiction. Meanwhile, Remo runs head-first into the future, spending his days and nights with a circle of wild young writers, seeking pleasure in the city’s labyrinthine streets, rundown cafes, and murky bathhouses. TRANSLATED BY NATASHA WIMMER ‘Fascinating... Achingly beautiful... It reads like a dispatch from beyond the grave’ New Yorker ‘The Spirit of Science Fiction functions as a kind of key to the jewelled box of Bolaño’s fictions... A cocktail of sorrow and ecstasy’ Paris Review",Science Fiction
The Master of the World,"Jules Gabriel Verne (8 February 1828 – 24 March 1905) was a French novelist, poet, and playwright best known for his adventure novels and his profound influence on the literary genre of science fiction. Verne was born to bourgeois parents in the seaport of Nantes, where he was trained to follow in his father's footsteps as a lawyer, but quit the profession early in life to write for magazines and the stage. His collaboration with the publisher Pierre-Jules Hetzel led to the creation of the Voyages Extraordinaires, a widely popular series of scrupulously researched adventure novels including Journey to the Center of the Earth, Twenty Thousand Leagues Under the Sea, and Around the World in Eighty Days. Verne is generally considered a major literary author in France and most of Europe, where he has had a wide influence on the literary avant-garde and on surrealism. His reputation is markedly different in Anglophone regions, where he has often been labeled a writer of genre fiction or children's books, largely because of the highly abridged and altered translations in which his novels are often reprinted. Verne is the second most-translated author in the world since 1979, ranking between the English-language writers Agatha Christie and William Shakespeare; he probably was the most-translated during the 1960s and 1970s. In English he is one so-called father of science fiction, a title also given to H. G. Wells and Hugo Gernsback. Jules Verne appeared in Transformers: Rescue Bots series in the episode ""Last of Morocco"", where he is revealed to be the estranged friend of recurring series antagonist Thaddeus Morocco. He is also a time traveler, having discovered a means of moving through the ages using a device of his own invention and Energon, the power source of all Transformers. After being contacted by his old friend, Jules Verne travels to the present day and meets the Rescue Bots, and reveals that he has encountered other Transformers during his travels through time. At the time that he meets the series' heroes, he has not yet written 20,000 Leagues Under the Sea, but later becomes determined to do so after taking a trip in a submarine. In a paradox, Morocco has a submarine called the Nemo that he presumably named for Jules Verne's character, whom Verne presumably named after the adventure involving the submarine. As a result of the episode's events, Verne takes Morocco-whose memories have been erased so that he no longer remembers his villainous career-to the future to live.",Science Fiction
The Routledge Companion to Science Fiction,"The Routledge Companion to Science Fiction is a comprehensive overview of the history and study of science fiction. It outlines major writers, movements, and texts in the genre, established critical approaches and areas for future study. Fifty-six entries by a team of renowned international contributors are divided into four parts which look, in turn, at: history – an integrated chronological narrative of the genre’s development theory – detailed accounts of major theoretical approaches including feminism, Marxism, psychoanalysis, cultural studies, postcolonialism, posthumanism and utopian studies issues and challenges – anticipates future directions for study in areas as diverse as science studies, music, design, environmentalism, ethics and alterity subgenres – a prismatic view of the genre, tracing themes and developments within specific subgenres. Bringing into dialogue the many perspectives on the genre The Routledge Companion to Science Fiction is essential reading for anyone interested in the history and the future of science fiction and the way it is taught and studied.",Science Fiction
The World of Cyberpunk 2077,The modern world -- Technology of tomorrow -- Night city -- A vertical slice of society -- Law and disorder -- Cyberpunks : edgerunners and mercs.,Science Fiction
Building Sci-fi Moviescapes,"Building Sci-fi Moviescapes provides a rare, behind-the-scenes examination of how the digital city and space-scapes in science fiction movies are created-through the eyes of directors, producers, production designers, and visualization artists. This is a stunning showcase of some of the most impressive digital city and space-scapes to come out of the movies, from Hollywood, as well as the Japanese and European film industries. From seminal movies of the 1980s such as Tron and Bladerunner, to classic series such as The Matrix and Star Wars, to recent films such as Sky Captain and the World of Tomorrow, this book is the definitive guide to the imagined aesthetics of the future. Through authoritative commentary and interviews with key directors, producers, production designers, and 3D visual artists, Building Sci-fi Moviescapes explores trends and digital visualization methods in science fiction films from the last three decades. * A celebration in design and creativity in Sci-Fi filmmaking for the CG artist * Access to reavealing interviews with key 3D industry professionals * Rich creative inspiration for Sci-Fi filmmakers",Science Fiction
The Island of Doctor Moreau - A Science Fiction Classic (Complete Edition),"The Island of Doctor Moreau is a science fiction, called ""an exercise in youthful blasphemy"". The text of the novel is the narration of Edward Prendick, a shipwrecked man rescued by a passing boat who is left on the island home of Doctor Moreau, who creates human-like beings from animals via vivisection. The novel deals with a number of philosophical themes, including pain and cruelty, moral responsibility, human identity, and human interference with nature.",Science Fiction
